id,name,red,green,blue,structure_order,parent_id,parent_acronym
20910,Right_Orbital_area_medial_part_layer_6a,ORBm6a,161,186,127,22500,731,ORBm
20911,Right_trochlear_nerve,IVn,204,204,204,99300,967,cm
20912,Right_Lingula_(I),LING,240,242,128,55000,645,VERM
20914,Right_Posterodorsal_preoptic_nucleus,PD,255,77,89,73100,141,PVR
20918,Right_Entorhinal_area_lateral_part,ENTl,128,255,145,41350,909,ENT
20919,Right_Anterior_cingulate_area_dorsal_part_layer_6a,ACAd6a,157,199,128,19300,39,ACAd
20920,Right_Central_lobule,CENT,240,242,128,55400,645,VERM
20924,Right_cerebal_peduncle,cpd,204,204,204,107100,784,cst
20926,Right_Entorhinal_area_medial_part_dorsal_zone,ENTm,128,255,146,42700,909,ENT
20927,Right_Anterior_cingulate_area_dorsal_part_layer_6b,ACAd6b,168,203,142,19400,39,ACAd
20928,Right_Culmen,CUL,240,242,128,56300,645,VERM
20929,Right_Primary_somatosensory_area_nose_layer_6b,SSp-n6b,135,206,179,4100,353,SSp-n
20930,Right_Parafascicular_nucleus,PF,255,130,132,68800,51,ILM
20931,Right_Pontine_gray,PG,255,174,92,87500,987,P-mot
20934,Right_Entorhinal_area_medial_part_ventral_zone,ENTmv,128,255,147,43700,909,ENT
20935,Right_Anterior_cingulate_area_dorsal_part_layer_1,ACAd1,96,170,75,19000,39,ACAd
20936,Right_Declive_(VI),DEC,240,242,128,57600,645,VERM
20939,Right_Nucleus_ambiguus_dorsal_division,AMBd,255,212,216,92900,135,AMB
20940,Right_cingulum_bundle,cing,204,204,204,111000,768,mfbc
20943,Right_Primary_motor_area_Layer_2/3,MOp2/3,73,166,99,1700,985,MOp
20944,Right_Folium-tuber_vermis_(VII),FOTU,240,242,128,58000,645,VERM
20945,Right_Primary_somatosensory_area_upper_limb_layer_6a,SSp-ul6a,114,198,154,6800,369,SSp-ul
20946,Right_Posterior_hypothalamic_nucleus,PH,255,79,83,77150,467,MEZ_
20949,Right_vomeronasal_nerve,von,204,204,204,97500,967,cm
20950,Right_Primary_somatosensory_area_mouth_layer_4,SSp-m4,66,185,120,5900,345,SSp-m
20951,Right_Pyramus_(VIII),PYR,240,242,128,58400,645,VERM
20952,Right_Endopiriform_nucleus_dorsal_part,EPd,81,255,87,46800,942,EP
20954,Right_Primary_auditory_area_layer_6a,AUDp6a,93,184,160,11800,1002,AUDp
20957,Right_Uvula_(IX),UVU,240,242,128,58800,645,VERM
20959,Right_Ventral_auditory_area_layer_1,AUDv1,0,156,102,12800,1018,AUDv
20961,Right_Piriform_area,PIR,160,255,167,33600,698,OLF
20962,Right_Secondary_motor_area_layer_2/3,MOs2/3,83,152,86,2300,993,MOs
20965,Right_Retrosplenial_area_lateral_agranular_part_layer_2/3,RSPagl2/3,0,142,105,25500,894,RSPagl
20966,Right_Endopiriform_nucleus_ventral_part,EPv,82,255,87,46900,942,EP
20968,Right_Nodulus_(X),NOD,240,242,128,59200,645,VERM
20969,Right_Orbital_area_ventrolateral_part_layer_1,ORBvl1,0,140,71,22800,746,ORBvl
20970,Right_Paragigantocellular_reticular_nucleus_dorsal_part,PGRNd,255,212,198,94900,938,PGRN
20973,Right_Lateral_visual_area_layer_2/3,VISl23,0,159,165,15700,409,VISl
20974,Right_Primary_somatosensory_area_mouth_layer_5,SSp-m5,92,191,133,6000,345,SSp-m
20975,Right_Edinger-Westphal_nucleus,EW,255,178,253,82900,323,MBmot
20977,Right_Ectorhinal_area/Layer_6a,ECT6a,80,165,156,29700,895,ECT
20978,Right_Paragigantocellular_reticular_nucleus_lateral_part,PGRNl,255,212,198,95000,938,PGRN
20980,Right_Dorsal_premammillary_nucleus,PMd,255,78,88,76000,467,MEZ_
20981,Right_Primary_somatosensory_area_barrel_field_layer_1,SSp-bfd1,0,178,156,4300,329,SSp-bfd
20982,Right_Fasciola_cinerea,FC,114,253,114,41000,1080,HIP
20988,Right_Ectorhinal_area/Layer_5,ECT5,54,151,140,29600,895,ECT
20989,Right_Fastigial_nucleus,FN,240,240,82,63000,519,CBN
20990,Right_Ventral_auditory_area_layer_4,AUDv4,70,168,124,13000,1018,AUDv
20996,Right_Agranular_insular_area_dorsal_part_layer_1,AId1,74,165,77,23500,104,AId
20997,Right_root,root,255,255,255,0,,
20998,Right_Fundus_of_striatum,FS,160,228,224,48500,493,STRv
21004,Right_Ventral_premammillary_nucleus,PMv,255,78,89,76100,467,MEZ_
21005,Right_Primary_auditory_area_layer_6b,AUDp6b,115,190,168,11900,1002,AUDp
21006,Right_Primary_somatosensory_area_trunk_layer_1,SSp-tr1,0,179,171,7100,361,SSp-tr
21007,Right_Simple_lobule,SIM,240,241,128,59700,1073,HEM
21009,Right_fiber_tracts,fiber_tracts,204,204,204,97200,997,root
21010,Right_Visceral_area_layer_4,VISC4,70,168,118,10100,677,VISC
21015,Right_Anterior_cingulate_area_dorsal_part_layer_5,ACAd5,137,183,108,19200,39,ACAd
21016,Right_olfactory_nerve_layer_of_main_olfactory_bulb,onl,204,204,204,97700,840,In
21017,Right_Ansiform_lobule,AN,240,241,128,60100,1073,HEM
21020,Right_Posterior_complex_of_the_thalamus,PO,255,134,130,65900,138,LAT
21021,Right_Secondary_motor_area_layer_6a,MOs6a,129,174,115,2500,993,MOs
21022,Right_Globus_pallidus_external_segment,GPe,160,216,177,51800,818,PALd
21023,Right_Ventral_auditory_area_layer_5,AUDv5,96,183,144,13100,1018,AUDv
21025,Right_Paramedian_lobule,PRM,240,241,128,61000,1073,HEM
21026,Right_Primary_somatosensory_area_upper_limb_layer_6b,SSp-ul6b,124,201,162,6900,369,SSp-ul
21029,Right_Posterior_limiting_nucleus_of_the_thalamus,POL,255,133,130,66000,138,LAT
21030,Right_Primary_somatosensory_area_lower_limb_layer_1,SSp-ll1,0,177,142,5000,337,SSp-ll
21031,Right_Globus_pallidus_internal_segment,GPi,160,216,178,51900,818,PALd
21033,Right_Copula_pyramidis,COPY,240,241,128,61400,1073,HEM
21035,Right_Supplemental_somatosensory_area_layer_4,SSs4,40,184,141,8000,378,SSs
21037,Right_Postsubiculum,POST,128,255,160,44700,822,RHP
21038,Right_Primary_somatosensory_area_barrel_field_layer_6a,SSp-bfd6a,117,203,197,4700,329,SSp-bfd
21039,Right_Gracile_nucleus,GR,255,177,178,90400,720,DCN
21041,Right_Paraflocculus,PFL,240,241,128,61800,1073,HEM
21044,Right_Peripeduncular_nucleus,PP,255,112,163,64900,864,DORsm
21045,Right_Ectorhinal_area/Layer_6b,ECT6b,101,171,165,29800,895,ECT
21046,Right_Anteromedial_visual_area_layer_6a,VISam6a,64,164,172,15300,394,VISam
21047,Right_Primary_somatosensory_area_barrel_field_layer_4,SSp-bfd4,66,191,179,4500,329,SSp-bfd
21048,Right_Gigantocellular_reticular_nucleus,GRN,255,212,187,93300,370,MY-mot
21049,Right_Flocculus,FL,240,241,128,62200,1073,HEM
21052,Right_Pedunculopontine_nucleus,PPN,255,158,255,83900,348,MBsta
21054,Right_Infralimbic_area_layer_6a,ILA6a,97,166,122,8900,44,ILA
21058,Right_Visceral_area_layer_5,VISC5,97,183,138,10200,677,VISC
21060,Right_doral_tegmental_decussation,dtd,204,204,204,109500,877,tsp
21061,Right_Posterior_pretectal_nucleus,PPT,255,176,244,82500,1100,PRT
21062,Right_Primary_somatosensory_area_barrel_field_layer_6b,SSp-bfd6b,143,211,208,4800,329,SSp-bfd
21066,Right_Anteromedial_visual_area_layer_2/3,VISam2/3,0,142,145,15000,394,VISam
21069,Right_Parapyramidal_nucleus,PPY,255,212,200,95600,370,MY-mot
21070,Right_Primary_somatosensory_area_barrel_field_layer_5_,SSp-bfd5,93,197,188,4600,329,SSp-bfd
21074,Right_Anterolateral_visual_area_layer_1,VISal1,0,160,181,14200,402,VISal
21077,Right_Perireunensis_nucleus,PR,255,144,160,67800,444,MED
21081,Right_Infralimbic_area_layer_6b,ILA6b,116,172,135,9000,44,ILA
21084,Right_Presubiculum,PRE,129,255,161,45100,822,RHP
21085,Right_Secondary_motor_area_layer_6b,MOs6b,139,178,127,2600,993,MOs
21086,Right_Primary_somatosensory_area_trunk_layer_4,SSp-tr4,63,192,187,7300,361,SSp-tr
21089,Right_Hippocampal_formation,HPF,144,255,176,37400,695,CTXpl
21090,Right_Supplemental_somatosensory_area_layer_5,SSs5,74,190,155,8100,378,SSs
21092,Right_external_medullary_lamina_of_the_thalamus,em,204,204,204,108100,896,lfbst
21093,Right_Pontine_reticular_nucleus_caudal_part,PRNc,255,174,85,87600,987,P-mot
21094,Right_Primary_somatosensory_area_lower_limb_layer_4,SSp-ll4,69,191,171,5200,337,SSp-ll
21097,Right_Hypothalamus,HY,255,105,110,70000,1129,IB
21098,Right_Medullary_reticular_nucleus_dorsal_part,MDRNd,255,212,195,94400,395,MDRN
21101,Right_Agranular_insular_area_dorsal_part_layer_5,AId5,114,177,110,23700,104,AId
21102,Right_Primary_somatosensory_area_mouth_layer_6a,SSp-m6a,115,197,146,6100,345,SSp-m
21105,Right_Intercalated_amygdalar_nucleus,IA,184,208,248,50700,278,sAMY
21106,Right_Visceral_area_layer_2/3,VISC2/3,42,163,106,10000,677,VISC
21107,Right_Medullary_reticular_nucleus_ventral_part,MDRNv,255,212,195,94500,395,MDRN
21109,Right_Parastrial_nucleus,PS,255,77,90,73200,141,PVR
21111,Right_Primary_somatosensory_area_trunk_layer_5,SSp-tr5,91,197,197,7400,361,SSp-tr
21113,Right_Interanterodorsal_nucleus_of_the_thalamus,IAD,255,144,159,66900,239,ATN
21114,Right_Anterolateral_visual_area_layer_4,VISal4,0,161,197,14400,402,VISal
21120,Right_Interanteromedial_nucleus_of_the_thalamus,IAM,255,136,129,66800,239,ATN
21123,Right_inferior_cerebellar_peduncle,icp,204,204,204,105100,752,cbp
21125,Right_Orbital_area_ventrolateral_part_layer_5,ORBvl5,72,150,98,23000,746,ORBvl
21126,Right_Tuberomammillary_nucleus_dorsal_part,TMd,255,78,86,75400,557,TM
21127,Right_Temporal_association_areas_layer_2/3,TEa2/3,0,145,121,28200,541,TEa
21128,Right_Primary_somatosensory_area_lower_limb_layer_5,SSp-ll5,96,196,179,5300,337,SSp-ll
21139,Right_Nucleus_of_the_lateral_olfactory_tract_layer_3,NLOT3,160,255,170,34500,619,NLOT
30703,Right_Dentate_gyrus_molecular_layer,DG-mo,114,250,114,39400,726,DG
30704,Right_Dentate_gyrus_polymorph_layer,DG-po,94,230,94,39500,726,DG
32001,Right_Primary_somatosensory_area_unassigned_layers_1-3,SSp-un_1-3,0,159,172,359,322,SSp
32002,Right_Primary_somatosensory_area_unassigned_layers_4-6,SSp-un_4-6,0,159,172,359,322,SSp
32003,Right_Anterior_area_layers_1-6,VISa_1-6,0,159,172,359,22,PTLp
32004,Right_Rostrolateral_visual_area_layers_1-6_,VISrl_1-6,0,159,172,359,22,PTLp
32005,Right_Laterointermediate_area_layers_1-6,VISli_1-6,0,159,172,359,669,VIS
32006,Right_Postrhinal_area_layers_1-6,VISpor_1-6,0,159,172,359,669,VIS
32007,Right_Frontal_pole_layers_5-6a,FRP_5-6A,0,159,172,359,184,FRP
32008,Right_Frontal_pole_layers_5-6b,FRP_6b,0,159,172,359,184,FRP
